Accession,Release_Date,Pangolin,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
QSF12572,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6656,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12584,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7216,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF12596,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7175,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF12608,2021-03-01T00:00:00Z,B.1.1.1,hCov-19-Israel-CVL-n-5939,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12620,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-11470,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12632,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-11482,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12644,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-13881,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12656,2021-03-01T00:00:00Z,B.11,hCov-19-Israel-CVL-n-6100,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12668,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-9331,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-19
QSF12680,2021-03-01T00:00:00Z,B.1.1.409,hCov-19-Israel-CVL-n-6744,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12692,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-9560,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-19
QSF12704,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-11475,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12716,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-5853,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12728,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6035,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12740,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6108,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12752,2021-03-01T00:00:00Z,B.1.1.366,hCov-19-Israel-CVL-n-6731,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12764,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6735,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12776,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-7154,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF12788,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6750,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSF12800,2021-03-01T00:00:00Z,B,hCov-19-Israel-CVL-n-5826,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12812,2021-03-01T00:00:00Z,B.4,hCov-19-Israel-CVL-n-6005,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12824,2021-03-01T00:00:00Z,B.1.277,hCov-19-Israel-CVL-n-6140,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12836,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-8405,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-16
QSF12848,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-8414,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-16
QSF12860,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-10864,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-23
QSF12872,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-11468,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF12884,2021-03-01T00:00:00Z,B.6,hCov-19-Israel-CVL-n-5856,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12896,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6102,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12908,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6118,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12920,2021-03-01T00:00:00Z,B.36,hCov-19-Israel-CVL-n-7224,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF12932,2021-03-01T00:00:00Z,B.1.504,hCov-19-Israel-CVL-n-9434,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-19
QSF12944,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-10261,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-21
QSF12956,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6106,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12968,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6126,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12980,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6131,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF12992,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-14266,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-10-15
QSF13004,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7169,Severe acute respiratory syndrome-related coronavirus,1272,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13016,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7467,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13028,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7905,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-13
QSF13040,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6104,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13052,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6105,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13064,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6110,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13076,2021-03-01T00:00:00Z,B.6,hCov-19-Israel-CVL-n-6132,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13088,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6136,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13100,2021-03-01T00:00:00Z,B.1.115,hCov-19-Israel-CVL-n-7201,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13112,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7427,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13124,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6751,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13136,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7909,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-13
QSF13148,2021-03-01T00:00:00Z,B.1.505,hCov-19-Israel-CVL-n-7920,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-13
QSF13160,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-8411,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-16
QSF13172,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-12003,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-27
QSF13184,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7451,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13196,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-7501,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13208,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-5908,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13220,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-5999,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13232,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6142,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13244,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-10253,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-21
QSF13256,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-11594,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-25
QSF13268,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-5936,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13280,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-5991,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13292,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-10262,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-21
QSF13304,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6134,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13316,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-6157,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-15
QSF13328,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7422,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13340,2021-03-01T00:00:00Z,B.1,hCov-19-Israel-CVL-n-7462,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13352,2021-03-01T00:00:00Z,B.6,hCov-19-Israel-CVL-n-7465,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-11
QSF13364,2021-03-01T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n-6051,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-04-09
QSE99505,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3021,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99517,2021-02-28T00:00:00Z,B.40,hCov-19-Israel-CVL-n3681,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99529,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n2875,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99541,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n4065,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSE99553,2021-02-28T00:00:00Z,A.5,hCov-19-Israel-CVL-n2200,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-06
QSE99565,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3304,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-09
QSE99577,2021-02-28T00:00:00Z,A.5,hCov-19-Israel-CVL-n2440,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-07
QSE99589,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n3975,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99601,2021-02-28T00:00:00Z,B,hCov-19-Israel-CVL-n2775,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-07
QSE99613,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3380,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-09
QSE99625,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n896,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-02-27
QSE99637,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n1467,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-02
QSE99649,2021-02-28T00:00:00Z,B.40,hCov-19-Israel-CVL-n3030,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99661,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n2487,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-07
QSE99673,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3953,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99685,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n2899,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99697,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n4326,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-12
QSE99709,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3120,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-09
QSE99721,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n4414,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-12
QSE99733,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n1749,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-03
QSE99745,2021-02-28T00:00:00Z,B.1.8,hCov-19-Israel-CVL-n3807,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99757,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n4295,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSE99769,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n2494,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-07
QSE99781,2021-02-28T00:00:00Z,B.6,hCov-19-Israel-CVL-n3166,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-09
QSE99793,2021-02-28T00:00:00Z,B.39,hCov-19-Israel-CVL-n3607,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-09
QSE99805,2021-02-28T00:00:00Z,B,hCov-19-Israel-CVL-n2820,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99817,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n4014,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSE99829,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n1750,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-04
QSE99841,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n4115,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSE99853,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n3020,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99865,2021-02-28T00:00:00Z,B.1.1,hCov-19-Israel-CVL-n2361,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-06
QSE99877,2021-02-28T00:00:00Z,A.5,hCov-19-Israel-CVL-n3804,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99889,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n2888,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99901,2021-02-28T00:00:00Z,B.6,hCov-19-Israel-CVL-n4094,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSE99913,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3707,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99925,2021-02-28T00:00:00Z,B.3,hCov-19-Israel-CVL-n2125,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-06
QSE99937,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3862,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-12
QSE99949,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n1962,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-04
QSE99961,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n4109,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSE99973,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n2971,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSE99985,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n3767,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSE99997,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n1999,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-05
QSF00010,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n4097,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-11
QSF00022,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n3837,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QSF00034,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n1541,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-02
QSF00046,2021-02-28T00:00:00Z,B.1,hCov-19-Israel-CVL-n4431,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-12
QSF00058,2021-02-28T00:00:00Z,A.2,hCov-19-Israel-CVL-n2910,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-08
QSF00070,2021-02-28T00:00:00Z,B.40,hCov-19-Israel-CVL-n3782,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03-10
QPA20102,2020-11-10T00:00:00Z,B.1.504,NH_GD1,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-07-14
QOY98835,2020-11-09T00:00:00Z,B.1.1.50,NH_M1_0614,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-06-14
QOY98721,2020-11-08T00:00:00Z,B.1.362,NH_MA_0727,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-07-27
QOW40748,2020-11-03T00:00:00Z,B.1.362,NH_AS_0625,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-06-25
QOW40760,2020-11-03T00:00:00Z,B.1.504,NH_GD2_0714,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-07-14
QOW40772,2020-11-03T00:00:00Z,B.1.504,NH_GD3_0726,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-07-26
QOW08085,2020-11-02T00:00:00Z,B.1.504,NH_NM_0720,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-07-20
QOW08357,2020-11-02T00:00:00Z,B.1.1.50,NH_M2_0614,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-06-14
QIT06987,2020-04-03T00:00:00Z,B,ISR_JP0320,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-02
QIT06999,2020-04-03T00:00:00Z,B.1.1,ISR_IT0320,Severe acute respiratory syndrome-related coronavirus,1273,surface glycoprotein,Israel,,Homo sapiens,,2020-03
